swept_param,swept_value,landing_position_error,landing_velocity,final_angle,total_control_effort,crashed,steps_taken,mean_sqp_iterations,max_sqp_iterations,mean_solve_time_s,total_solve_time_s,n_solver_failures
mpc_horizon,10.0,0.31313686027676635,1.2665239783294266,0.24547499776113624,18789416.630877256,False,300,3.0,3.0,0.02526747133117169,7.580241399351507,0
mpc_horizon,20.0,0.6160909389274652,1.1562132542062145,0.21823173302467833,18796641.155109715,False,300,3.0,3.0,0.029483288331733394,8.844986499520019,0
mpc_horizon,30.0,0.47036624886568745,1.052942247638691,0.053602852385950715,18838963.391999155,False,300,3.0,3.0,0.03595394600027551,10.786183800082654,0
mpc_horizon,50.0,0.45565188109048793,1.0491080338987588,0.008408856432290574,18860302.754513934,False,300,3.0,3.0,0.05003789366222918,15.011368098668754,0
mpc_horizon,75.0,0.4672718654549459,0.9848597168230299,0.006707656963401006,18946203.82353395,False,300,3.0,3.0,0.06825340966306005,20.476022898918018,0
mpc_horizon,100.0,0.5112906498845404,0.8368467428595843,0.027365766583527976,19137793.996125236,False,300,3.0,3.0,0.08527559133712202,25.582677401136607,0
max_sqp_iterations_tracking,1.0,0.469241639041023,1.101500826372338,0.16979678713505408,18784104.395679157,False,300,1.0,1.0,0.010424883333034813,3.127464999910444,0
max_sqp_iterations_tracking,2.0,0.490894371188323,1.0434102659618563,0.13189001450230453,18834905.760943983,False,300,2.0,2.0,0.0207620186614804,6.228605598444119,0
max_sqp_iterations_tracking,3.0,0.47036624886568745,1.052942247638691,0.053602852385950715,18838963.391999155,False,300,3.0,3.0,0.03092522333143279,9.277566999429837,0
max_sqp_iterations_tracking,5.0,0.4593859864140837,1.0602229716870537,0.012702871301827,18839839.101654917,False,300,4.993333333333333,5.0,0.051403082328227656,15.420924698468298,0
max_sqp_iterations_tracking,8.0,0.45592355711277627,1.0625339995279357,5.644016776264042e-05,18840171.8987633,False,300,7.9366666666666665,8.0,0.08197623832927396,24.592871498782188,0
max_sqp_iterations_tracking,12.0,0.4547069794257976,1.063316428984032,0.004267259457737342,18840325.578284644,False,300,11.733333333333333,12.0,0.12158840433927252,36.47652130178176,0
